Date,Product,Category,Price,Quantity,Total,Customer Name,City
2024-01-10,Sneakers,Men's Wear,"Rs. 3,000",3,3000,Ahmed Ali,Islamabad
2024-02-22,Hoodie,Men's Wear,-1000,2,"Rs. 3,000",,Multan
2024-02-13,Sneakers,Men's Wear,"Rs. 3,000",2,"Rs. 3,000",Aisha Khan,Multan
2024-02-16,Sneakers,Women's Wear,-1000,4,3000,,Lahore
2024-02-22,Hoodie,Men's Wear,1500,4,"Rs. 3,000",Usman Javed,Multan
2024-03-14,Jeans,Men's Wear,-1000,4,"Rs. 4,500",Ahmed Ali,Lahore
2024-02-15,Jeans,Women's Wear,-1000,3,"Rs. 3,000",Ahmed Ali,Multan
2024-01-13,T-Shirt,Women's Wear,"Rs. 1,500",2,"Rs. 3,000",Usman Javed,Karachi
2024-02-06,T-Shirt,Women's Wear,1500,3,-4500,Usman Javed,Lahore
2024-01-24,Jeans,Women's Wear,Rs. 0,4,-4500,Ali Raza,Lahore
2024-01-02,Cap,Men's Wear,"Rs. 1,500",2,-4500,Usman Javed,Hyderabad
2024-03-26,Sneakers,Women's Wear,Rs. 0,3,"Rs. 3,000",Zara Sheikh,Multan
2024-03-21,Cap,Men's Wear,"Rs. 3,000",3,3000,Usman Javed,Multan
2024-04-09,Sneakers,Women's Wear,Rs. 0,1,"Rs. 4,500",Zara Sheikh,Lahore
2024-01-14,Jeans,Women's Wear,-1000,3,"Rs. 3,000",Usman Javed,Karachi
2024-01-10,T-Shirt,Women's Wear,Rs. 0,4,3000,Ali Raza,Karachi
2024-02-04,T-Shirt,Women's Wear,"Rs. 1,500",3,"Rs. 3,000",Zara Sheikh,
2024-01-25,Cap,Women's Wear,"Rs. 1,500",2,"Rs. 4,500",Aisha Khan,Karachi
2024-01-03,T-Shirt,Women's Wear,Rs. 0,3,"Rs. 3,000",Zara Sheikh,Multan
2024-01-17,Jeans,Men's Wear,"Rs. 1,500",1,"Rs. 4,500",Ali Raza,Hyderabad
2024-01-12,Cap,Women's Wear,"Rs. 1,500",2,"Rs. 3,000",,Lahore
2024-02-23,Sneakers,Women's Wear,Rs. 0,2,"Rs. 4,500",Zara Sheikh,Islamabad
2024-01-24,T-Shirt,Women's Wear,1500,1,"Rs. 3,000",Usman Javed,Hyderabad
2024-01-29,Hoodie,Women's Wear,1500,4,"Rs. 4,500",Usman Javed,Islamabad
2024-02-12,T-Shirt,Men's Wear,"Rs. 3,000",2,-4500,,Hyderabad
2024-01-25,Sneakers,Women's Wear,"Rs. 1,500",4,"Rs. 3,000",Ali Raza,Karachi
2024-04-09,Cap,Women's Wear,Rs. 0,2,"Rs. 3,000",Ahmed Ali,Multan
2024-02-29,Sneakers,Women's Wear,"Rs. 1,500",2,3000,Usman Javed,Islamabad
2024-03-30,Hoodie,Women's Wear,-1000,4,3000,Aisha Khan,Hyderabad
2024-03-05,Jeans,Men's Wear,"Rs. 1,500",2,"Rs. 4,500",Ali Raza,Multan
2024-03-24,T-Shirt,Women's Wear,"Rs. 1,500",4,"Rs. 3,000",Zara Sheikh,Islamabad
2024-01-28,Cap,Men's Wear,1500,1,"Rs. 4,500",Zara Sheikh,Lahore
2024-01-16,Jeans,Women's Wear,Rs. 0,4,-4500,Aisha Khan,Hyderabad
2024-02-16,Sneakers,Men's Wear,"Rs. 1,500",1,3000,Usman Javed,Lahore
2024-03-21,Cap,Men's Wear,1500,2,"Rs. 4,500",Ali Raza,Karachi
